,Calories,Carbs,Category,Cholesterol,Fat,Fiber,Protein,Restaurant,Saturated Fat,Sodium,Sugars,Trans Fat,calories,carbs,category,deets_url,fat_content,name
4447,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,148,5,"
Drinks
",http://chubbygrub.com/food/berry-fusion/,0,Berry Fusion
4448,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,162,28,"
Breakfast
",http://chubbygrub.com/food/berry-good-yogurt-parfait/,3,Berry Good Yogurt Parfait
4449,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,162,28,"
Desserts
",http://chubbygrub.com/food/berry-good-yogurt-parfait-2/,3,Berry Good Yogurt Parfait
4450,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,265,5,"
Seafood
",http://chubbygrub.com/food/blackened-tilapia-with-mango-salsa/,10,Blackened Tilapia with mango salsa
4451,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,541,77,"
Desserts
",http://chubbygrub.com/food/blondie-for-one/,23,Blondie for One
4452,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,918,129,"
Desserts
",http://chubbygrub.com/food/blondie-for-two/,40,Blondie for Two
4453,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,607,14,"
Salads
",http://chubbygrub.com/food/blue-cheese-iceberg-tower-add-on/,53,Blue Cheese Iceberg Tower – add-on
4454,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1066,28,"
Salads
",http://chubbygrub.com/food/blue-cheese-iceberg-tower-entree/,90,Blue Cheese Iceberg Tower – entrée
4455,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1165,82,"
Burgers
",http://chubbygrub.com/food/boston-blue-burger/,72,Boston Blue Burger*
4456,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1204,73,"
Burgers
",http://chubbygrub.com/food/boston-blue-triple-prime-burger/,79,Boston Blue Triple Prime Burger*
4457,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,466,17,"
Soups
",http://chubbygrub.com/food/broccoli-and-cheese-soup/,39,Broccoli & Cheese Soup
4458,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,202,35,"
Sides
",http://chubbygrub.com/food/brown-rice-pilaf/,5,Brown-Rice Pilaf
4459,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,202,35,"
Sides
",http://chubbygrub.com/food/brown-rice-pilaf-2/,5,Brown-Rice Pilaf
4460,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,888,70,"
Burgers
",http://chubbygrub.com/food/buffalo-chicken-burger/,49,Buffalo Chicken Burger
4461,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,763,89,"
Chicken
",http://chubbygrub.com/food/buffalo-chicken-minis/,36,Buffalo Chicken Minis
4462,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,930,76,"
Entrees
",http://chubbygrub.com/food/cajun-jambalaya-pasta/,44,Cajun Jambalaya Pasta
4463,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1101,52,"
Salads
",http://chubbygrub.com/food/carolina-chicken-salad/,46,Carolina Chicken Salad
4464,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,325,45,"
Desserts
",http://chubbygrub.com/food/carrot-cake-cupcake/,16,Carrot Cake Cupcake
4465,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,564,5,"
Entrees
",http://chubbygrub.com/food/chefs-cut-sirloin/,29,Chef’s Cut Sirloin*
